,questionId,questionTitle,Tags,questionBody,questionCreationDate,AcceptedAnswerId,questionViewCount,AnswerCount,CommentCount,questionScore,questionFavoriteCount,questionUserId,questionUserLocation,questionUserCreationDate,questionUserViews,answerId,answerBody,answerUserId,answerScore,answerCommentCount,commentId,commentText,code,,,
297,1590073,Line Tracking Robot,|arduino|robotics|,"<p>Me and my friends are building a line tracking robot based on my previous question about how to track white line on a black surface. We settled on using photo resistors and a arduino board. Now all the reflectance sensors I've found are should be placed very close to the line 1 - 2 cm above the line. Now one of my team mates had a heated argument with the professor that there are reflectance sensors that can track 10cm or more but we could not find any.</p>

<p>Are there any type of sensor that would allow us to track the line farther away?</p>
",10/19/2009 17:41,,1357,2,3,2,0,89904,,4/12/2009 4:27,3143,1590138,"<p>Using an arduino, you are most likely going to use the pololu library for reflectance sensors. Even using an <a href=""http://www.pololu.com/catalog/product/961"" rel=""nofollow noreferrer"">array of sensors</a> of this type, you are looking at a maximum sensing distance of just UNDER a cm (9.5 mm.) I think your teammate was out by a factor of ten, you can score this one to the professor!</p>

<p>The lego light sensor is a good example of this type of sensor. If you can get your hands on an NXT kit, it is an alternative to the arduino. And who doesn't enjoy playing with lego!!</p>

<p>Kindness,</p>

<p>Dan</p>
",63627,0,0,1453373,"I'm interested in line tracking, but this questions seems to deal with finding some commodity hardware. I'm not sure that fits with SO.",line tracking,line tracking,,
280,1322019,Associating s/w programming with h/w programming,|hardware|robotics|,"<p>I've been in s/w programming for years. Thru out the years i also had interest in h/w programming (circuits + robotics + etc).</p>

<p>Please advice from where i can start h/w programming. my aim is to combine both s/w &amp; h/w to work together. </p>
",8/24/2009 12:17,1327292,205,4,1,5,0,147025,,7/29/2009 11:24,518,1322040,"<p>I'd recommend <a href=""http://www.arduino.cc"" rel=""nofollow noreferrer"">Arduinos</a> if you want to try some embedded programming. They're cheap, IDE works on multiple platforms and especially they are easy to start with.</p>
",89024,3,2,93084415,ask a stupid question: does h/w mean hardware?,gs,hr,,
274,1252428,Hardware Programming - Hands-On Learning,|arduino|robotics|hardware|,"<p>Besides <a href=""http://www.arduino.cc/"" rel=""nofollow noreferrer"">Arduino</a>, what other ways are there to learn hardware programming in a hands-on way?  Are there any nifty kits available, either a pre-assembled robot, that you can program to move a certain way, or do certain things, or anything similar to that?</p>
",8/9/2009 22:04,1252456,1164,6,0,4,0,83819,United States,9/16/2008 7:07,905,1252441,"<p>There's the <a href=""http://www.microsoft.com/netmf/default.mspx"" rel=""nofollow noreferrer"">.NET Micro Framework.</a></p>

<p>It's incredibly simple to use/setup and there's lots of hardware being made to target this framework. </p>
",74183,0,0,,,gs,hr,,
446,1967978,"Lego Mindstorm NXT, Cocoa, and HiTechnic Sensors",|objective-c|cocoa|robotics|lego-mindstorms|,"<p>I've taken the existing code from <a href=""http://code.google.com/p/legonxtremote/"" rel=""nofollow noreferrer"">this project</a>, and very happy with it so far.</p>

<p>I'm now however in a position where I need to make use of some third-party sensors which I've purchased from <a href=""http://www.hitechnic.com"" rel=""nofollow noreferrer"">hitechnic</a>, such as an accelerometer, a gyroscope, and a 3D compass - to mention a few.</p>

<p>I'm not sure where to start now, but what I need to do is add to my existing code base (which is based on the <a href=""http://code.google.com/p/legonxtremote/"" rel=""nofollow noreferrer"">this</a>), and effectively glue my framework to the new hardware.</p>

<p>Can anyone point me in the right direction?  I can't find any APIs from the device manufacturer, (but I have emailed them and asked - no reply yet).</p>

<p>I've also started to document my findings on <a href=""http://ai.autonomy.net.au/wiki/Project/Framework/Nimachine"" rel=""nofollow noreferrer"">this</a> page.</p>
",12/28/2009 4:35,1973289,2192,2,0,4,0,109362,"Seattle, Washington",5/19/2009 13:14,202,1972660,"<p>I heard back from HiTechnic today, and with their permission, I'm posting their response for everyone here.</p>

<pre><code>Hi Nima,

There are two types of sensors, digital and analog.  The Analog sensors you
can basically read like you would the LEGO light sensor.  If you have that
working then you can read the HiTechnic analog sensors.  These include the
EOPD, Gyro as well as the Touch Multiplexer.

For the TMUX there is [sample NXC code][1] on the product info page.
You should be able to use that as a basis if you want to support this device.

The other sensors are digital I2C sensors.  Most of these sensors have I2C
register information on their respective product information page and/or it
was included on a sheet that came with the sensor.  First of all, to make
these sensors work with your framework you need to have I2C communications
working.  After that it will be a matter of creating your own API that uses
the I2C interface with the sensors.  I recommend that you download and look
at Xander Soldaat's RobotC driver suite for the HiTechnic sensors.  You will
find this near the bottom of the HiTechnic downloads page.

Regards,
Gus
HiTechnic Support
</code></pre>

<p>References:</p>

<ul>
<li><a href=""http://www.hitechnic.com/cgi-bin/commerce.cgi?preadd=action&amp;key=NTX1060"" rel=""nofollow noreferrer"">Sample NXC code</a></li>
<li><a href=""http://mightor.wordpress.com/2009/11/08/robotc-i2c-howto-part-i/"" rel=""nofollow noreferrer"">Xander's Blog</a></li>
</ul>
",109362,2,1,,,api,,,
226,764202,Is Lego MindStorms a good choice for basic robotics development?,|robotics|lego-mindstorms|nxt|,"<p>I would like to learn how to write software for controlling robots.</p>

<p>Is Lego MindStorms a good choice for this? Are there better alternatives?</p>

<p>I'd prefer MindStorms, but after reading a couple of articles I get the impression that Lego has stopped research and development of MindStorms.</p>

<p>What are your suggestions?</p>
",4/18/2009 21:05,764351,15585,9,0,28,0,169,"London, United Kingdom",8/2/2008 22:51,717,764222,"<p>I can't give you a good side-by-side comparison vs other robotics kits (I know MS has one), but I've spent a lot of time with mindstorms (to the point where I gave a user group presentation) and I think that it makes the programming enjoyable and teaches you the basics of sensors, input and output that you'd need to know with any kit.</p>

<p>It gives you the foundation and makes it fun which is a great way to start. There are probably more sophisticated alternatives though...</p>
",3329,2,0,,,hr,,,
907,4350199,"Does a wireless robot, or even robot sensors exist that I can control or read via command line or curl?",|wireless|robotics|,"<p>I see robots like Rovio out there, that claim to be ""wireless"" or ""wifi"", but it SEEMS like they expect you to use their included software to control the robots.  Is there any way to control an existing commercial robot (or even just read an available wireless sensor, such as light or motion) from a command line, or curl?  (For example, hitting the robots ip, and port it is listening on, and sending a web services, or soap, or even http message, or ANYTHING). Even just being able to listen to a sensor from a command line would be a help... </p>

<p>Basically, most ""programmable"" robots out there have lightweight languages on them, and you have to physically store the code on them, so you're pretty limited.  What I want to do (and SURELY this exists) is have a robot that is completely client-light and server heavy (i.e. all the intelligence and logic is stored on some machine that wirlessly commands the robot).  That way I could code in any language (and have arbitrarily long code base), so long as I could send dumb wireless commands to the robot (such as move forward, give me your sensor data, etc)</p>

<p>Does such a thing exist in any form?</p>
",12/3/2010 21:54,4350523,176,1,1,0,0,99502,,5/1/2009 13:31,620,4350523,"<p><a href=""http://www.ros.org/"" rel=""nofollow"">ROS</a>, which is quite popular these days, provides facilities to off-load code to a larger machine, featuring distributed nodes. As long as you remember that you need the communication stack, motor / manipulation control etc. right on the robot, you can pretty much implement the whole heavy-duty control anywhere you like.</p>
",407438,0,1,5489221,"Actually, looks like Lego NXT brick lets you send programmed bluetooth commands to it, which suits my purposes. Huzzah?",wireless,,,
784,3687113,How to control multiple robots through PC using Serial communication?,|c|robotics|serial-communication|,"<p>I want to <strong>control multiple robots using my laptop</strong>. Robots do not have intelligence, they are sending sensor values to PC which computes the sensors values and sends back result to robots.(Centralized control of robots using PC ).</p>

<p>Robots are communicating with PC through serial communication using Zigbee mudule. </p>

<p>Problem: <strong>How to make &amp; send a structure</strong> (from robot) <strong>like {sen1, sen2,sen3..,robot id}</strong> where sen1, sen2..are sensors values and robot id is to recognize particular robot. 
After editing.....
The code I was using for sending sensors was like.</p>

<pre><code> void TxData(unsigned char tx_data)

{   SBUF = tx_data; //Transmit data that is passed to this function
     while(TI == 0); //wait while data is being transmitted
}
</code></pre>

<p>and then sending sensor values one by one</p>

<pre><code> TxData(left_whiteline_sensor);
 TI=0; // resetting transmit interrupt after each character
 TxData(middle_whiteline_sensor);
 TI=0;
 TxData(right_whiteline_sensor);
 TI=0;
 TxData(front_sharp_sensor);
 TI=0;
</code></pre>

<p>At PC end reading these values in buffer</p>

<pre><code>read(fd, buf1, sizeof(buf1));
.....
options.c_cc[VMIN]=4; // wait till not getting 4 values 
</code></pre>

<p>This was <strong>working fine</strong> when there was <strong>only one robot</strong>, now as we have <strong>multiple robots</strong> and each robot is sending data using above function, I am <strong>getting mixed sensor values</strong> of all robots of <strong>at PC end</strong>. One solution is to <strong>make a structure</strong> which I mentioned above and send it to PC. This is what I want to ask ""<strong>How to make and send such a structure</strong>""
Sorry for not framing question correctly before.</p>

<p>Thanks...</p>
",9/10/2010 18:07,,1345,5,3,1,0,362250,"Bengaluru, Karnataka, India",6/9/2010 9:22,134,3687353,"<p>I don't know what API you are using from the PC to communicate with the endpoints (robots), but I'm guessing that when you send data you specify either the short address, the long address (MAC), or some socket/file ID which you opened using one of the long or short addresses.  Also, I'm guessing that the robot id is the same as the short address -- if not you will need to create some code to map back and forth between the robot ID and the short address.  I'm also guessing that you are either using something like the <code>select</code> system call to wait for data from any of your robots or trying to read from each one.</p>

<p>If this is the case then you should be able to create a state machine for each robot and whenever you get data from that robot you feed that robot's state machine which processes it and generate a reply to that robot (or even sends data to the other robots' state machines).  The state machine will be almost like your single robot program, except that it will rely on an event loop getting data from the robots for it.  You may also want the event loop to be able to supply timer alarms for the state machines.  This is similar to the way you would write a http server that could handle multiple clients at one time.</p>

<p>If I was totally wrong about your API and you have those zigbee radios that just act as a serial port without wires then you are in a mess, because I think that you will have to reconfigure them in order to use more than one endpoint at a time -- and will have to change the API you use to communicate with the robots.</p>
",299301,0,0,3884562,"Yeah, what exactly are you asking?",cpmr,,,
636,3185471,Distance travelled by a robot using Optical Flow,|localization|opencv|robotics|opticalflow|,"<p>is there a way to find out the distance travelled by a robot using Optical Flow? For example, using OpenCV, I'm able to find out the velocity of each pixel between 2 images taken by a camera. However, I don't know where to go with this to find out the corresponding distance travelled by the robot. Can you suggest a way to do this?</p>

<p>My main aim is to do the localization of the robot and for that I need the distance travelled by it between 2 instances.</p>
",7/6/2010 10:39,,570,2,2,0,,280454,India,2/24/2010 15:38,573,5905756,"<p>No, not directly.  You can determine distance to objects, and then back calculate distance travelled from there, but it will likely be computationally expensive.</p>
",369609,0,0,3280502,"You have already asked this question: [Finding distance travelled by robot using Optical Flow](http://stackoverflow.com/questions/3069144/finding-distance-travelled-by-robot-using-optical-flow ""title"")",distance,,,
778,3621244,Accounting for misalignment of wheels in diff drive odometry,|math|coordinates|robotics|,"<p>I have a differential drive robot, using odometery to infer its position.</p>

<p>I am using the standard equations:</p>

<pre><code>WheelBase = 35.5cm;
WheelRadius = 5cm;
WheelCircumference = (WheelRadius * 2 * Math.PI);
WheelCircumferencePerEncoderClick = WheelCircumference / 360;

DistanceLeft = WheelCircumferencePerEncoderClick * EncoderCountLeft
DistanceRight = WheelCircumferencePerEncoderClick * EncoderCountRight

DistanceTravelled = (DistanceRight + DistanceLeft) / 2
AngleChange (Theta) = (DistanceRight - DistanceLeft) / WheelBase
</code></pre>

<p>My (DIY) chassis has as a slight feature, where over the course of the wheel base (35.5cm), the wheels are misaligned, in that the left wheel is 6.39mm (I'm a software person not a hardware person!) more 'forwards' than the right wheel. (The wheels are the middle of the robot.)</p>

<p>I'm unsure how to calculate what I must add to my formulas to give me the correct values.. It doesn't affect the robot much, unless it does on the spot turns, and my values are way off, I think this is causing it.</p>

<p>My first thought was to plot the wheel locations on a grid, and calculate the slope of the line of their positions, and use that to multiply... something.</p>

<p>Am I on the right track? Can someone lend a hand? I've looked around for this error, and most people seem to ignore it (since they are using professional chassis). </p>
",9/1/2010 18:59,3623793,489,2,0,3,,282090,,1/10/2010 12:34,138,3622288,"<p>If I'm reading this right, the problem is that because the left wheel is ahead of the right, when they turn at different rates they cannot roll without slipping. The greater the difference in turning rates, the worse the problem gets, which is probably why it shows up while ""turning on a dime"", when the rotations are opposed.</p>

<p>I think the way to solve it is to consider a related problem: two wheels located correctly, but both skewed a little to the left (which is exactly the situation you're in, thinking of the diagonal between the wheels as the ""wheelbase""). The motion can then be broken into two components, the major forward-back component, which acts normally, and the minor sideways component which causes no angle change and depends only on the sum of the wheel rotations.</p>

<p>I'll see if I can come up with some math that makes sense...</p>
",128940,0,0,,,wc,,,
799,3713385,"Writing Hardware Drivers, APIs, and Services",|wcf|hardware|soa|robotics|hardware-interface|,"<p>What books/blogs/podcasts etc... discuss patterns and best practices for designing software systems that interact with custom hardware and robotics? I am particularly interested in any books that would discuss strategies for writing a program that has to orchestrate and coordinate actions between several different custom hardware and robotics systems.     </p>
",9/14/2010 22:29,3852334,136,1,0,0,,170347,,9/8/2009 18:15,47,3852334,"<p>I'm not sure of any particular blog or podcast based resources for this type of material.</p>

<p>However, it sounds like what you are doing would be a perfect fit for something like ROS (Robotics Operating System), an open-source robotics framework with a heavy emphasis on software engineering ideas.  While it's not a book or blog, the framework along with the associated community is a great way to learn about the hardware/software interaction necessary for robotics systems.</p>

<p>You can find the website at <a href=""http://www.ros.org/"" rel=""nofollow"">ros.org</a></p>
",460065,1,0,,,bp,,,
