,questionId,questionTitle,Tags,questionBody,questionCreationDate,AcceptedAnswerId,questionViewCount,AnswerCount,CommentCount,questionScore,questionFavoriteCount,questionUserId,questionUserLocation,questionUserCreationDate,questionUserViews,answerId,answerBody,answerUserId,answerScore,answerCommentCount,commentId,commentText,code
2631,41599283,Translation from Camera Coordinates System to Robotic-Arm Coordinates System,|python|opencv|coordinates|robotics|coordinate-transformation|,"<p>I am new in robotics and I am working on a project where I need to pass the coordinates from the camera to the robot.</p>

<p>So the <strong>robot</strong> is just an arm, it is then stable in a <strong>fixed position</strong>. I do not even need the 'z' axis because the board or the table where everything is going on have always the same 'z' coordinates.</p>

<p>The <strong>webcam</strong> as well is always in a <strong>fixed position</strong>, it is not part of the robot and it does not move.</p>

<p>The <strong>problem</strong> I am having is in the conversion from 2D camera coordinates to a 3D robotic arm coordinates (2D is enough because as stated before the 'z' axis is not needed as is always in a fixed position).</p>

<p>I'd like to know from you guys, which one is the <strong>best approach</strong> to face this kind of problems so I can start to research.</p>

<p>I've found lot of information on the web but I am getting a lot of confusion, I would really appreciate if someone could address me to the right way. </p>

<p>I don't know if this information are useful but I am using OpenCV3.2 with Python</p>

<p>Thank you in advance</p>
",1/11/2017 19:34,,1631,1,3,0,,5577396,"Rome, Metropolitan City of Rome, Italy",11/18/2015 15:45,102,41604196,"<p>Define your 2D coordinate on the board, create a mapping from the image coordinate (2D) to the 2D board, and also create a mapping from the board to robot coordinate (3D). Usually, robot controller has a function to define your own coordinate (the board).</p>
",1637710,0,0,70421380,2D coordinates are 3D with z = 0. Then you can be interested in a [forward 3d transfomation matrix](https://studywolf.wordpress.com/2013/08/21/robot-control-forward-transformation-matrices/),hc
4772,78120537,Drawing a circle in a 3D enviroment using a 3DOF arm,|arduino|robotics|,"<p>I am a second year robotics student and have been giving a task to draw a circle in a 3D enviroment so far I haven't had the best results I used the 2D equation for a circle in the X and Z axis and at the moment I have set the Y axis to 0 and somehow the Y axis is moving.</p>
<pre><code>#include &lt;Servo.h&gt;

Servo motor1;
Servo motor2;
Servo motor3;

//add variables for lengths - l1, l2 and l3;
float l1 = 105;
float l2 = 150;
float l3 = 150;

float radToDeg = (180 / 3.14);

void ik(float x, float y, float z) {

  // accounts for the vertical displacement along Z
  z = z - l1;

  float theta1, theta2, theta3;

  //calculate the angle of the base joint using just the x and y value
  // Add solution for Theta 1 (base)
  theta1 = atan2(y, x);

  // Calculate distance from the base to the end effector projection in the xy-plane
  // Add solution for the d variable
  float d = sqrt(sq(x) + sq(y));

  //  float a = d / 2;
  //
  //  // Calculate theta2 (shoulder)
  //  // Add solution for Theta 2
  //  float angle1 = acos(a/ l2);
  //  float angle2 = acos(x/ d);
  //  theta2 = angle1 + angle2;
  //
  //  // Add solution for Theta3 (arm)
  //  theta3 = 2*((3.14*1.5)-angle1);

  // Calculate theta3
  theta3 = acos((sq(d) + sq(z) - sq(l2) - sq(l3)) / (2 * l2 * l3));
  // Calculate theta2
  float b = atan2(l3 * sin(theta3), l2 + l3 * cos(theta3));
  theta2 = atan2(-z, d) - b;

  theta1 = theta1 * radToDeg;
  theta2 = theta2 * radToDeg;
  theta3 = theta3 * radToDeg;
  theta2 = theta2 + 90;

  theta3 = 180 - theta3;
  Serial.print(theta1); Serial.print(&quot;   &quot;);
  Serial.print(theta2); Serial.print(&quot;   &quot;);
  Serial.print(theta3); Serial.print(&quot;   &quot;);
  Serial.println();

  //plug theta values into the motor write function
  motorWrite(theta1, theta2, theta3);
}

void motorWrite(float t1, float t2, float t3) {
  //offset the angles to go from -90 and 90 to be between 0 and 180 instead
  t1 += 90;
  t2 += 90;
  motor1.write(t1);
  motor2.write(t2);
  motor3.write((90 + t3 - t2)); // make link 3 dependent on theta 2
}

void setup() {
  motor1.attach(2);
  motor2.attach(3);
  motor3.attach(4);
}

void loop() {
  ik(sin(millis()/100) * 200, 0, cos(millis()/100) * 200);
}
</code></pre>
<p>Here is the code feel free to change it or do anything to it.</p>
<p>PSA I have asked my lectures and they are okay with me uploading this and asking questions as it is a good learning experience. YOU ARE NOT DOING MY HOMEWORK.</p>
<p>I tried the code above and this is a video of what has happend.
Here is a youtube link to what is happening at the moment:
<a href=""https://youtube.com/shorts/uRWFePCdgaA?feature=share"" rel=""nofollow noreferrer"">https://youtube.com/shorts/uRWFePCdgaA?feature=share</a></p>
",3/7/2024 10:25,,13,0,1,0,,23551898,,3/7/2024 10:04,0,,,,,,137740697,"Please clarify your specific problem or provide additional details to highlight exactly what you need. As it's currently written, it's hard to tell exactly what you're asking.",mc
3642,60347644,Getting Robot to Point to Correct Direction,|python|opencv|arduino|path-finding|robotics|,"<p>I am commanding a robot from a base station with radio. Base station takes location/orientation information from an overhead camera using the AR tag on the robot (with openCV). Moreover, base calculates the path robot should take to reach the target from location information (A* with each grid being 30 by 30 pixels in camera). My robot can only turn left/right (on its central point) and go forward/backward. Robot includes an Arduino Uno with two Lego NXT motors.</p>

<p>I use the following code to get robot to point at right direction. However, when the robot gets close to the angle that it is supposed to travel to, instead of stopping an going forward it tries to fix its orientation infinitely.</p>

<pre><code>    def correctOrientation(self, rx: int, ry: int):
        #returns direction robot needs to point.
        direction = self.getDirection((self.sx, self.sy), (rx, ry))
        #method to stop robot.
        self.comms.stop()

        anglediff = (self.angle - direction + 180 + 360) % 360 - 180

        while not (abs(anglediff) &lt; 15):
            #Decides which way to turn.
            if self.isTurnLeft(self.angle, direction):
                self.comms.turnLeft()
            else:
                self.comms.turnRight()
            #Put sleeps because there is a delay in camera feed. Allows it to get the location right
            time.sleep(0.3)
            self.comms.stop()
            #Updates position
            self.getPos()
            time.sleep(1)
            #Calculates orientation of robot and updates it
            self.angle = self.calcOrientation()
            anglediff = (self.angle - direction + 180 + 360) % 360 - 180
            print(anglediff)
            time.sleep(1)

</code></pre>

<p>My helper function that are used. I calculate orientation of robot by using two points known on the robot and drawing a line in between those two point. Hence, line becomes parallel with th orientation.</p>

<pre><code>    def isTurnLeft(self, angle, touchAngle):
        diff = touchAngle - angle
        if diff &lt; 0:
            diff += 360
        if diff &lt; 180:
           return False
        else:
            return True

    def calcOrientation(self) -&gt; float:
        return self.getDirection(self.marker[0], self.marker[3])

    def getDirection(self, source: Tuple[int], target: Tuple[int]) -&gt; float :
        return (math.degrees(math.atan2(target[1] - source[1], target[0] - source[0]))+360)%360
</code></pre>

<p>I can't figure out if my code is problematic in logic. If so what can I do about it? If code is fine and the problem is the delay/setup of the system, what are the other ways I can control the robot?</p>

<p>Thank you for the help.</p>
",2/21/2020 23:50,60365777,456,1,4,1,0,3970582,,8/23/2014 11:24,28,60365777,"<p>Solved the problem by changing the image library for AR tag recognition. We were using 2 tags for one robot. It is significantly slower and fail prone to detect two tags. Updated it to only have one tag. Moreover, switched from angle based calculations to vector based which is way simpler to understand.</p>
",3970582,2,0,106753274,"Does it move back and forth to try and fix it's location? If so, then maybe it's overshooting the 15 degrees difference. Try sleeping a shorter time of rotation. Better still: make the rotation time dependent of the anglediff. Larger anglediff, rotate longer.",orientation
4368,73519254,How to activate motors with python3,|python|automation|raspberry-pi|robotics|,"<p>I am thinking of a way to pack my bag for work in the morning, but I'm trying to automate it with python3, raspberry pi and motors, but I don't know how to program something to make them work. Does anyone know how to do this? I think it might include circuitpython.</p>
<p>Thanks for your time,
Gomenburu</p>
",8/28/2022 13:51,73594428,38,1,2,0,,17985160,,1/20/2022 14:16,10,73594428,"<p>I figured out the answer. It is explained <a href=""https://www.tomshardware.com/how-to/dc-motors-raspberry-pi-pico"" rel=""nofollow noreferrer"">here</a>. It uses a Raspberry Pi Pico and MicroPython to activate the motors.</p>
",17985160,0,0,129828224,"Ok, thanks. I might try this with motors instead then, because I heard that is easier",mc
3647,60448037,Sending ROS messages through a cv2 python script,|python|ros|opencv|robotics|markers|,"<p>I am trying to implement a robotic solution, where the user will click on a point through a camera feed of an area and the mobile 4 wheel robot will path its way to that location.
I have created the part of translating video pixel coordinates to ground coordinates through the use of the homograph transformation and would like to implement the part of sending the ground coordinates to RViz.
The part of calculating the ground coordinates is shown bellow:</p>

<pre><code>global h
font = cv2.FONT_HERSHEY_SIMPLEX #Loading neccessary fonts

with open(""save.h"", ""rb"") as f:
    h = load(f)


print ""Homographic matrix loaded successfully.""

def draw_circle2(event,x,y,flags,param):
    global h,mouseX,mouseY, num_of_points, complete,np_coord_on_screen,np_coord_on_ground, myImage, emptyFrame, coord_on_screen, coord_on_ground

    if event == cv2.EVENT_LBUTTONDBLCLK:

        a = np.array([[x, y]], dtype='float32')
        a = np.array([a])
        pointOut = cv2.perspectiveTransform(a, h) #Calculation of new point location

        loc_pointOut = tuple(pointOut)

        pointOut=(loc_pointOut[0][0][0],loc_pointOut[0][0][1]) #Point on ground

        print ""Current Location: ""+str(pointOut)
        cv2.imshow('Video',emptyFrame) #Showing emptyFrame
        cv2.circle(myImage,(x,y),4,(255,0,0),-1) #Draw a circle on myImage
        cv2.putText(myImage,(str((round(pointOut[0],2)))+"",""+str(round(pointOut[1],2))), (x-5,y-15),font, 0.4,(0,255,0)) #Draw the text
        cv2.imshow('Video',myImage) #Showing resulting myImage

        myImage = emptyFrame.copy()



# Initial code 
# Showing first frame on screen
raw_input(""Press any key..."")
clear_all()
cv2.namedWindow('Video') #Naming the window to use.
cv2.setMouseCallback('Video',draw_circle2) #Set mouse callBack function.
ret, frame = cap.read() #Get image from camera
if (ret): #If frame has image, show the image on screen
    global myImage, emptyFrame
    myImage = frame.copy()
    emptyFrame = frame.copy()
    cv2.imshow('Video',myImage) # Show the image on screen



while True:  # making a loop

    if cv2.waitKey(1) &amp; 0xFF == ord('q'):
        break
    if (cv2.waitKey(1) &amp; 0xFF == ord('c')):
        #Deleting points from image

        cv2.imshow('Video',emptyFrame) #Show the image again, deleting all graphical overlays like text and shapes
        coord_on_screen = []        #Resetting coordinate lists
        coord_on_ground=[]          #Resetting coordinate lists
    if (cv2.waitKey(1) &amp; 0xFF == ord('s')):
        cap.release()
        cv2.destroyAllWindows()
        init()


# When everything done, release the capture
cap.release()
cv2.destroyAllWindows()
</code></pre>

<p>So, pointOut is the point on the ground (example: (2,4) m)
I need some directions on how to implement the creation of a node and the transmission of the pointOut Marker message to a ROS topic in my code.</p>

<p>My configuration is ROS Kinetic Kame, Python 2.7 </p>
",2/28/2020 8:43,,182,0,4,0,,12969878,,2/26/2020 23:42,10,,,,,,106950925,"I have tried your suggestion and it turns out it is correct.
It seems it was very simple after all. For some reason though, the first time I tried I got several errors making me believe it couldn't be achieved in such a simple manner.",wireless
4112,69371534,What PointCloud library would be the best to start working with for a beginner?,|computer-vision|point-clouds|robotics|,"<p>I am looking to learn to work with a pointcloud library. As a beginner, what would be the best library to use? I have heard about PCL, CGAL, PDAL etc. but am not sure which one to use. My main interests are at the intersection of classical computer vision, deep learning and robotics. I am using a Windows machine without a GPU (I know that using a Linux Machine with a GPU would be ideal, but at the moment, this is what I have). Also, I have moderate but not expert experience with C++.</p>
",9/29/2021 6:41,,251,0,2,1,,14897937,"Princeton, NJ, USA",12/27/2020 20:17,37,,,,,,122962978,"Each of them is great. Like every tool, it depends on what you need and with what. For difficult level, PDAL -> PCL -> CGAL. PDAL is probably the easiest but is fewer C++. PCL compare to the other 2 is limited (More you can do with PDAL or CGAL) but don't get me wrong is still a great tool. I would say CGAL is the most advanced but has also a higher starting point and is harder to use than the other two.",api
2398,33271330,How to make a robot to play a video game by Python in Mac OSX?,|python|python-2.7|python-3.x|machine-learning|robotics|,"<p>I am doing research on machine learning, and want to apply an algorithm to training a robot to play a video game. I may want to use Python to implement the agent(controller) so I need a way to take screen shots of the game from python, and send keyboard events from python to the game. My OS is Mac OS X 10.10.</p>

<p>I am new to Python. Is it possible for Python to do so? If so, how to do it?
Thanks. </p>
",10/22/2015 0:09,,345,1,2,-3,,2261693,,4/9/2013 12:32,60,33271897,"<p>I'm not an expert in this field but I think you can look at some of the heuristic search algorithms like Genetic Algorithm (GA).</p>

<p><a href=""https://en.wikipedia.org/wiki/Genetic_algorithm"" rel=""nofollow"">https://en.wikipedia.org/wiki/Genetic_algorithm</a></p>

<p>Also, every games are different for instance the super mario vs chess game. I'm not sure what game you are after but GA has been successfully implemented to play Super Mario smartly. </p>

<p>I think for a start you can develop an AI to play the game first, then meantime collect some data for analytics so that it can play better the next time? Again, I dont know what kind of game you are after so it is  difficult for me to contribute ideas to help you.</p>
",4014291,0,0,54344177,I think your in a bit over your head. try learning a little more about python first. And try looking at other program source code to learn how to make the robot play your game.,gs
2136,27412408,How to move a robot a certain distance and still manage sensors?,|c++|arduino|robotics|,"<p>I have a robot with encoder feedback, and i want to use functions that move a robot a certain distance and turn it a certain angle, so for example:</p>

<pre><code>void loop(){

  if (Obstacle==false){  // if no obstacles

      forward(1000);  // move forward 1000 mm
      backward(1000); // move backward 1000 mm

      //...  
  }
}
</code></pre>

<p>Forward Function:</p>

<pre><code>void forward(int distance){  // distance in mm

   int desiredRotationNumber= round(distance/circumference) ; 

   int desiredTicks = encoderResolution * desiredRotationNumber;

   if (counter &lt; desiredTicks) // variable counter counts the pulses from the encoder
   {  
       analogWrite(motor,255);
   } 
   else 
   {
       analogWrite (motor,0); 
   }

}
</code></pre>

<p>The problem is that if i use the condition ""if"" my forward function will execute only once and then the program jumps to the next function, but if i use the ""while loop"" my move functions will execute correctly but i won't be able to manage sensors or anything.  </p>
",12/10/2014 22:56,27412489,1627,1,0,0,,2729596,,8/29/2013 14:09,28,27412489,"<p>What you probably want is to cut your moves in increments, and check the sensors in between each of these increments:</p>

<pre><code>while (distance &gt; 0 &amp;&amp; !Obstacle){
    forward(step);
    distance-=step;
    check_sensors();
}
</code></pre>

<p>With multithreading, you could make those operations (moving and sensing) work asynchronously, and use some kind of event posting to warn each thread of a change. Here we're simulating that functionality by interwinding the tasks (you could also look into coroutines for a similar, yet much more effective idea).</p>
",1769720,2,2,,,sensors
2137,27432813,How to make a robot navigate a maze?,|python|robotics|maze|robot|myro|,"<p>I'm using the Myro library with the Python language.  I've had some weird results.</p>

<p>My idea was to call the getObstacle sensors.  </p>

<pre><code>left = getObstacle(0)
center = getObstacle(1)
right = getObstacle(2)
</code></pre>

<p>I want the robot to move forward as long as the center obstacle sensor is less than or equal to 4500.</p>

<p>If the right obstacle sensor on the robot has a higher reading than the left obstacle sensor, I want it to turn left.</p>

<p>Otherwise turn right.</p>

<p>Here are my attempts on youtube</p>

<p><a href=""https://www.youtube.com/watch?v=U5_sppAMe_8"" rel=""nofollow"">Attempt 1</a></p>

<p><a href=""https://www.youtube.com/watch?v=h1pWAmf_7xA&amp;feature=youtu.be"" rel=""nofollow"">Attempt 2</a></p>

<p>I'm going to submit 3 different variations of my code</p>

<pre><code>def main():
    setIRPower(135)
    while True:
        left = getObstacle(0)
        center = getObstacle(1)
        right = getObstacle(2)
        # 2 feet per 1 second at 1 speed
        if (center &lt;= 4500):
            forward(0.5, 0.2)   
            wait(0.4)   
        elif (right &gt; left):
            turnLeft(1, .45) 
        else:
            turnRight(1, .45)



def main():
    setIRPower(135)
    while True:
        left = getObstacle(0)
        center = getObstacle(1)
        right = getObstacle(2)
        # 2 feet per 1 second at 1 speed
        if (center &lt;= 4500):
            forward(0.5, 0.2)   
            wait(0.3)   

        elif(right &gt; center and left):
            turnLeft(1, .45) 
        elif(left &gt; center and right):
            turnRight(1, .45)
</code></pre>

<p>The latest one I'm working with</p>

<pre><code>def main():
    setForwardness(1)
    setIRPower(135)
    while True: 
        left = getObstacle(0)
        center = getObstacle(1)
        right = getObstacle(2)
        if (center &lt;= 5000 and left &lt;= 5000 and right &lt;= 5000):
            forward(0.5, 0.2)
            wait(.3)
        elif(right&gt;left):
            turnLeft(1, 0.45)
        else:
            turnRight(1, 0.45)
</code></pre>

<p>Is there any way I can improve my code? I want it to turn left and right at the correct times. </p>

<p>Should I be using different logic altogether?  Any help would be appreciated. </p>
",12/11/2014 21:35,,1471,0,3,2,,3577397,,4/27/2014 2:15,141,,,,,,43306882,"lol.. I just realized I said ""Are you kidding me?!""  In the first vid.  I'm a tad frustrated lol :P  This type of programming is like pulling teeth for me, and I'm fairly new to both programming and python in general.",mp
4139,69676420,Detect when 2 buttons are being pushed simultaneously without reacting to when the first button is pushed,|c++|robotics|,"<p>I'm programming a robot's controller logic. On the controller there is 2 buttons. There is 3 different actions tied to 2 buttons, one occurs when only the first button is being pushed, the second when only the second is pushed, and the third when both are being pushed.</p>
<p>Normally when the user means to hit both buttons they would hit one after another. This has the consequence of executing a incorrect action.</p>
<p>Here is part of the code.</p>
<pre class=""lang-cpp prettyprint-override""><code>while (true)
{
    conveyor_mtr.setVelocity(22, pct);

    if (Controller1.ButtonL2.pressing() &amp;&amp; Controller1.ButtonL1.pressing())
    {
      conveyor_mtr.spin(fwd); // action 1
    }
    else if (Controller1.ButtonL2.pressing())
    {
      backGoalLift.setAngle(3); // action 2
    }
    
    else if (Controller1.ButtonL1.pressing())
    {
      backGoalLift.setAngle(55); // action 3
    }
    else
    {
      conveyor_mtr.stop(hold);
    }
    task::sleep(20); //ms
}
</code></pre>
",10/22/2021 11:51,69676660,600,1,2,1,,12650035,,1/4/2020 2:01,19,69676660,"<p>You could use a short timer, which is restarted every time a button press is triggered. Every time the timer expires, you check all currently pressed buttons. Of course, you will need to select a good timer duration to make it possible to press two buttons &quot;simultaneously&quot; while keeping your application feel responsive.</p>
<p>You can implement a simple timer using a counter in your loop. However, at some point you will be happier with an event based architecture.</p>
",17219185,1,0,123158313,"The term you're looking for is ""debouncing""",wireless
