questionId,questionCreationDate,code
17103286,6/14/2013 7:29,Specifications
32292996,8/30/2015 3:53,Specifications
42355760,2/20/2017 23:02,Specifications
62630556,6/29/2020 2:58,Specifications
74116961,10/18/2022 20:14,Specifications
69371534,44468.27847,Specifications
78227765,45377.81597,Specifications
35468253,42417.89931,Specifications
1967978,40175.19097,Specifications
39838761,42646.79861,Specifications
16664330,5/21/2013 7:22,Actuator
76226178,5/11/2023 9:35,Actuator
48801772,43146.30347,Actuator
72675794,44731.40486,Actuator
37649397,6/6/2016 4:05,Error
55608358,4/10/2019 8:47,Error
76017501,4/14/2023 17:10,Error
76714440,7/18/2023 15:34,Error
75203121,44948.79722,Error
54373318,43490.91389,Error
32419077,9/6/2015 1:07,Other
64386937,10/16/2020 9:56,Other
3713385,40435.93681,Other
4557970,40541.89028,Other
3069144,6/18/2010 11:19,Incoming
5207515,3/5/2011 23:30,Incoming
14818109,2/11/2013 18:04,Incoming
16250256,4/27/2013 9:04,Incoming
34290860,12/15/2015 13:45,Incoming
51205858,7/6/2018 8:14,Incoming
52974661,10/24/2018 17:17,Incoming
62046666,5/27/2020 15:19,Incoming
67072289,4/13/2021 9:35,Incoming
70197279,12/2/2021 9:52,Incoming
73277615,8/8/2022 12:07,Incoming
75940959,4/5/2023 14:55,Incoming
75962469,4/7/2023 22:59,Incoming
77928392,2/2/2024 16:10,Incoming
41657165,42750.09653,Incoming
13482797,41233.90903,Incoming
17126898,41440.78611,Incoming
32057612,42233.78542,Incoming
34964928,42392.62153,Incoming
41827191,42759.48125,Incoming
73792169,44824.84306,Incoming
75773727,45003.14861,Incoming
77678698,45278.46806,Incoming
75160864,44944.60764,Incoming
76231952,45057.92917,Incoming
78231595,45378.50903,Incoming
74726722,12/8/2022 7:17,Coordinates
29399433,4/1/2015 19:43,Remote
49205761,3/10/2018 5:40,Remote
3687113,40431.75486,Remote
76351277,45074.48194,Remote
49842838,43205.5875,Other
77923548,45323.90417,Other
71697482,3/31/2022 18:27,Other
3185471,40365.44375,Other
8091124,40858.32986,Other
9262830,2/13/2012 15:12,Other
51480521,7/23/2018 13:53,Other
22228890,41704.64653,Other
53307599,43418.81667,Other
57675404,8/27/2019 13:07,Programming
64563152,10/27/2020 21:28,Programming
78038352,45344.16806,Programming
43429195,42840.73333,Programming
64552488,44131.43611,Programming
72596431,44724.95347,Programming
4063416,10/31/2010 14:11,Other
5765591,4/23/2011 16:58,Other
56360142,5/29/2019 12:00,Other
33271330,42299.00625,Other
1322019,40049.51181,Other
50158870,43223.64792,Other
10420966,5/2/2012 20:14,Actuator
24095107,6/7/2014 7:57,Actuator
47102736,11/3/2017 18:57,Actuator
48455762,1/26/2018 4:21,Actuator
55429137,3/30/2019 7:17,Actuator
74063852,10/14/2022 2:58,Actuator
75700380,3/10/2023 19:41,Actuator
76058435,4/19/2023 20:08,Actuator
41599283,42746.81528,Actuator
77869639,45314.94236,Actuator
3068658,40347.4125,Actuator
41411217,42735.81597,Actuator
76121679,45043.61111,Actuator
1252428,40034.91944,Specifications
3146232,6/30/2010 3:16,Specifications
9614729,3/8/2012 8:28,Specifications
11581346,7/20/2012 14:26,Specifications
15548139,3/21/2013 12:52,Specifications
58681419,11/3/2019 15:02,Specifications
764202,39921.87847,Specifications
2734897,40297.21389,Specifications
11804800,41125.00625,Specifications
14935473,41323.48681,Specifications
42251735,42781.59167,Specifications
55360519,43550.63403,Specifications
60412326,43887.45486,Specifications
2625390,4/12/2010 20:56,Actuator
53493976,11/27/2018 6:30,Actuator
77276377,10/11/2023 21:01,Actuator
77649089,12/12/2023 21:21,Actuator
11058724,41075.91597,Actuator
70643681,44570.71667,Actuator
32978569,42283.83056,Actuator
42030132,42769.74167,Actuator
69587803,44484.68194,Actuator
38647114,7/28/2016 21:34,Other
39719830,42640.35486,Other
53683579,43442.60972,Other
6140332,5/26/2011 14:34,Connections
45996174,9/1/2017 8:32,Connections
58836477,11/13/2019 11:49,Connections
52939173,43395.99236,Connections
49725812,43199.20625,Connections
35598327,42424.4,Connections
32013704,42230.64861,Connections
12042285,8/20/2012 17:33,Error
29615931,4/13/2015 22:09,Error
29952691,4/29/2015 19:20,Error
31547941,7/21/2015 19:28,Error
36340961,3/31/2016 18:26,Error
48189649,1/10/2018 14:30,Error
55038180,3/7/2019 7:24,Error
58744003,11/7/2019 7:38,Error
58904495,11/17/2019 19:44,Error
