,Unnamed: 0,questionId,questionTitle,Tags,questionBody,questionCreationDate,AcceptedAnswerId,questionViewCount,AnswerCount,CommentCount,questionScore,questionFavoriteCount,questionUserId,questionUserLocation,questionUserCreationDate,questionUserViews,answerId,answerBody,answerUserId,answerScore,answerCommentCount,commentId,commentText,,
0,127,166742,Robot simulation environments,|simulation|environment|robotics|,"<p>I would like to make a list of remarkable robot simulation environments including advantages and disadvantages of them. Some examples I know of are <a href=""http://www.cyberbotics.com/"" rel=""noreferrer"">Webots</a> and <a href=""http://playerstage.sourceforge.net/"" rel=""noreferrer"">Player/Stage</a>.</p>
",10/3/2008 13:07,166799,5688,12,2,15,0,21047,"Budapest, Hungary",9/23/2008 11:27,704,166799,"<p>This made me remember the <a href=""http://www.spiderland.org/node/2598"" rel=""nofollow noreferrer"">breve</a> project.</p>

<blockquote>
  <p><em>breve is a free, open-source software package which makes it easy to build 3D simulations of multi-agent systems and artificial life.</em></p>
</blockquote>

<p>There is also a wikipage listing <a href=""http://en.wikipedia.org/wiki/Robotics_simulator"" rel=""nofollow noreferrer"">Robotics simulators</a></p>
",842,4,0,16833762,We have several good answers: I prefer those that include a whole list like epatel's and Ezu's answers or is elaborated as Prometheus.one's answer.,,
1,100,106684,How to create a new type of entity in Microsoft Robotics Studio 2.0?,|artificial-intelligence|robotics|robotics-studio|,"<p>What I'm trying to do with MRS is to teach myself some basic AI; what I want to do is to make a rocket entity, with things such as vectored exhaust, and staging. Anyone have an idea on how to make an entity that can fly? Or do I just need to constantly apply a force upwards?</p>
",9/20/2008 1:16,110338,477,2,0,6,0,18658,"Brisbane, Australia",9/19/2008 8:49,1055,110338,"<p>Hey TraumaPony, your question looked lonely :)</p>

<p>I took a look at an MSDN article about MRS 2.0 <a href=""http://msdn.microsoft.com/en-us/magazine/cc546547.aspx"" rel=""nofollow noreferrer"">here</a> I believe you'll actually need to create a Rocket entity of some kind and then a Thruster entity that it can use. In the article they were able to reuse a DifferentialDrive entity to propel their bot forward. I hope that helps. I'm more or less shooting in the dark since no else has tried to help ya out yet. Cheers! :)</p>
",9401,3,0,,,,
4,260,1011602,How can you add a camera to a robot in the Breve Simulator?,|python|simulation|robotics|,"<p>I've created a two wheeled robot based on the braitenberg vehicle. Our robots have two wheels and a PolygonDisk body(Much like kepera and e-puck robots). I would like to add a camera to the front of the robot. The problem then becomes how to control the camera and how to keep pointing it in the right direction(same direction as the robot). How can you make the camera point in the same direction as the robot ?</p>
",6/18/2009 9:01,,362,1,0,1,,109730,,5/20/2009 5:01,13,1027059,"<p>After much trying and failing I finally made it work.
So here is how I did it:</p>

<p>The general idea is to have an link or object linked to the vehicle and then measuring 
its rotation and location in order to find out in which direction the camera should be aimed.</p>

<p>1) Add an object that is linked to the robot:</p>

<pre><code>def addVisualCam(self):
    joint = None
    cam = breve.createInstances(breve.Link,1)
    cam.setShape(breve.createInstances(breve.PolygonCone, 1).initWith(10,0.08,0.08))
    joint = breve.createInstances(breve.FixedJoint,1)
    # So ad-hoc it hurts. oh well...
    joint.setRelativeRotation(breve.vector(0,1,0), -3.14/2)
    joint.link(breve.vector(0,1.05,0), breve.vector(0,0,0), cam, self.vehicle.bodyLink, 0)
    joint.setDoubleSpring(300, 1.01000, -1.01000)
    self.vehicle.addDependency(joint)
    self.vehicle.addDependency(cam)
    cam.setColor(breve.vector(0,0,0))
    self.cam = cam
</code></pre>

<p>2) Add this postIterate:</p>

<pre><code>def postIterate(self):
    look_at = self.cam.getLocation() + (self.cam.getRotation() * breve.vector(0,0,1))
    look_from = -(self.cam.getRotation()*breve.vector(0,0,1))
    self.vision.look(look_at, look_from)
</code></pre>
",109730,1,0,,,,
14,466,2329934,Robot Simulation in Java,|java|simulation|robotics|,"<p>I am doing a project concerning robot simulation and i need help. I have to simulate the activities of a robot in a warehouse. I am using mindstorm robots and lego's for the warehouse. The point here is i have to simulate all the activities of the robot on a Java GUI. That is whenever the robot is moving, users have to see it on the GUI a moving object which represents the robot.</p>

<p>When the roads/rails/crossings of the warehouse changes it must also be changed on the screen. The whole project is i have to simulate whatever the robot is doing in the warehouse in real-time. Everything must happen in real-time  </p>

<p>I am asking which libraries in Java i can use to do this simulations in real-time and if someone can also point me to any site for good information. Am asking for libraries in Java that i can use to visualize the simulation in real-time.</p>
",2/24/2010 22:00,,3773,3,1,6,0,,,,,2329960,"<p>Perhaps the easiest (if not best) place to start is the ""Java2D"" API: <a href=""http://java.sun.com/products/java-media/2D/index.jsp"" rel=""nofollow noreferrer"">http://java.sun.com/products/java-media/2D/index.jsp</a></p>
",65977,3,0,2304974,"Note that ""real-time"" has a special meaning in software. http://en.wikipedia.org/wiki/Real-time_computing",,
20,1259,7861132,iterative lengthening pseudo code for traversal of all the nodes,|algorithm|artificial-intelligence|robotics|,"<p>What would the algorithm, pseudo code or actual code to traverse all the nodes in a graph using an iterative lengthening depth-first approach?</p>
",10/22/2011 17:00,,3006,1,0,1,0,452944,Stockholm,9/16/2010 8:23,371,7887942,"<p>I give you first the depth-first pseudo-code for graph</p>

<pre><code>DLS(node, goal, depth, visited) 
{
  if ( depth &gt;= 0 ) 
    {
    if ( node == goal )
      return node

    visited.insert(node)

    for each child in expand(node)
      if (child is not in visited)
          DLS(child, goal, depth-1, visited)
  }
}
</code></pre>

<p>and the iterative DLS is</p>

<pre><code>IDDFS(start, goal)
{
  depth = 0
  while(no solution)
  {
    visited = [] // &lt;-- Empty List
    solution = DLS(start, goal, depth,visited)
    depth = depth + 1
  }
  return solution
}
</code></pre>

<p>You can always transform a graph in a tree by removing graph loop with a <em>visited list</em>. :)</p>
",173787,1,3,,,,
28,1282,8513998,Panda3d Robotics,|c++|python|ruby|robotics|panda3d|,"<p>The title makes it obvious, is this a good idea? I've been looking for a robotics simulator in languages i know (i know ruby best, then c++, then python -- want to strengthen here--, forget about javascript, but i know it). </p>

<p></p>

<p>i found something called pyro, but it probably doesn't fit my needs (listed below). </p>

<p></p>

<p>In my last university term i learned c++, then they took me to RobotC (which was only about 2 months of the term). Pyro seems similar but now i want something different.</p>

<p></p>

<p>I need something that allows to import graphics, allows 3d environments, allows to easily modify actions robot can perform. Also provides other things necessary for robot programming, like a sensor.</p>
",12/15/2011 1:24,,953,2,1,2,0,989635,,10/11/2011 13:44,61,10025027,"<p>Panda 3D is a good language to write your own robot system in.  It's written by CMU people, so it's very clean and makes a lot of sense.  It allows you to import very complex models from Maya or Blender.  It supports 3D environments.  Although it has its own scripting language for running actions (animations) imported from your modeling package, I prefer to write my own robot driver.  It supports three different physics engines, including its own basic version, Open Dynamics Engine (ODE), and most recently Bullet.  Although it supports collision detection, which allows triggering, it is an animation and graphic rendering system, not a robotics system per se, and so you'll have to craft your own sensor simulations beside or on top of it.  All in all, though, it is quite satisfactory.  Good luck.</p>
",841457,0,3,10651737,"Have a look here - [http://stackoverflow.com/questions/2533321/robotics-simulator][1]


  [1]: http://stackoverflow.com/questions/2533321/robotics-simulator",,
29,949,4749693,Can I get Erlang OTP behaviors in C Nodes?,|event-handling|erlang|robotics|erlang-otp|erl-interface|,"<p>For example, right now I have a C Node (call it <strong>CN</strong>) which connects to an erlang node (call it <strong>EN</strong>) and uses a RPC to use OTP behaviors. Hence, to send an event from <strong>CN</strong> to an event manager on <strong>EN</strong> I connect <strong>CN</strong> to <strong>EN</strong> and do</p>

<pre><code>args = erl_format(""[data_man, {~f, ~f}]"", ch.at(0), ch.at(1));
erl_rpc_to(fd, ""gen_event"", ""notify"", args);
</code></pre>

<p>But, then, my C Node really isn't behaving as a node (i.e. why create a node that only uses remote procedure calls?).</p>

<p>Is there a way to directly use OTP behaviors within a C Node?</p>

<p>If there isn't, should I look under the hood at the message formats being used by OTP and send messages using that format (i.e. can I spoof OTP behaviors?)? <em>I don't like this idea, I'll have to watch for changes in the implementation of OTP etc.</em></p>

<p>I have hard latency limits in my requirements, how does this effect my choice of communication between a C process and Erlang (are RPCs going to bog me down? etc.)?</p>
",1/20/2011 16:24,,320,1,0,3,0,79168,,3/17/2009 19:19,823,4771331,"<p>There is no way to directly use OTP behaviours from C. I also don't think you should mimic the OTP behaviours to use them directly.</p>

<p>You should just first use RPC and then test your code against your performance requirements. If needed, you could always send a simple message to your gen_event process to make it notify itself through its handle_info/2 method.</p>
",493099,4,0,,,,
34,1406,11424438,detecting lump region in a 2D array,|matlab|image-processing|computer-vision|computational-geometry|robotics|,"<p>in the 2D array plotted below, we are interested in finding the ""lump"" region. As you can see it is not a continuous graph. Also, we know the approximate dimension of the ""lump"" region. A set of data are given below. First column contains the y values and the second contains the x values. Any suggestion as to how to detect lump regions like this?</p>

<p><img src=""https://i.stack.imgur.com/eQDZt.png"" alt=""enter image description here""></p>

<pre><code>   21048        -980
   21044        -956
   21040        -928
   21036        -904
   21028        -880
   21016        -856
   21016        -832
   21016        -808
   21004        -784
   21004        -760
   20996        -736
   20996        -712
   20992        -684
   20984        -660
   20980        -636
   20968        -612
   20968        -588
   20964        -564
   20956        -540
   20956        -516
   20952        -492
   20948        -468
   20940        -440
   20936        -416
   20932        -392
   20928        -368
   20924        -344
   20920        -320
   20912        -296
   20912        -272
   20908        -248
   20904        -224
   20900        -200
   20900        -176
   20896        -152
   20888        -128
   20888        -104
   20884         -80
   20872         -52
   20864         -28
   20856          -4
   20836          16
   20812          40
   20780          64
   20748          88
   20744         112
   20736         136
   20736         160
   20732         184
   20724         208
   20724         232
   20724         256
   20720         280
   20720         304
   20720         328
   20724         352
   20724         376
   20732         400
   20732         424
   20736         448
   20736         472
   20740         496
   20740         520
   20748         544
   20740         568
   20736         592
   20736         616
   20736         640
   20740         664
   20740         688
   20736         712
   20736         736
   20744         760
   20748         788
   20760         812
   20796         836
   20836         860
   20852         888
   20852         912
   20844         936
   20836         960
   20828         984
   20820        1008
   20816        1032
   20820        1056
   20852        1080
   20900        1108
   20936        1132
   20956        1156
   20968        1184
   20980        1208
   20996        1232
   21004        1256
   21012        1280
   21016        1308
   21024        1332
   21024        1356
   21028        1380
   21024        1404
   21020        1428
   21016        1452
   21008        1476
   21004        1500
   20992        1524
   20980        1548
   20956        1572
   20944        1596
   20920        1616
   20896        1640
   20872        1664
   20848        1684
   20812        1708
   20752        1728
   20664        1744
   20640        1768
   20628        1792
   20628        1816
   20620        1836
   20616        1860
   20612        1884
   20604        1908
   20596        1932
   20588        1956
   20584        1980
   20580        2004
   20572        2024
   20564        2048
   20552        2072
   20548        2096
   20536        2120
   20536        2144
   20524        2164
   20516        2188
   20512        2212
   20508        2236
   20500        2260
   20488        2280
   20476        2304
   20472        2328
   20476        2352
   20460        2376
   20456        2396
   20452        2420
   20452        2444
   20436        2468
   20432        2492
   20432        2516
   20424        2536
   20420        2560
   20408        2584
   20396        2608
   20388        2628
   20380        2652
   20364        2676
   20364        2700
   20360        2724
   20352        2744
   20344        2768
   20336        2792
   20332        2812
   20328        2836
   20332        2860
   20340        2888
   20356        2912
   20380        2940
   20428        2968
   20452        2996
   20496        3024
   20532        3052
   20568        3080
   20628        3112
   20652        3140
   20728        3172
   20772        3200
   20868        3260
   20864        3284
   20864        3308
   20868        3332
   20860        3356
   20884        3384
   20884        3408
   20912        3436
   20944        3464
   20948        3488
   20948        3512
   20932        3536
   20940        3564
</code></pre>
",7/11/2012 1:47,11424758,404,1,1,3,0,1284853,,3/22/2012 2:18,316,11424758,"<p>It may be just a coincidence, but the lump you show looks fairly parabolic.  It's not completely clear what you mean by ""know the approximate dimension of the lump region"" but if you mean that you know approximately how wide it is (i.e. how much of the x-axis it takes up), you could simply slide a window of that width along the x-axis and do a parabolic fit (a.k.a. polyfit with degree 2) to all data that fits into the window at each point.  Then, compute r^2 goodness-of-fit values at each point and the point with the r^2 closest to 1.0 would be the best fit.  You'd probably need a threshold value and to throw out those where the x^2 coefficient was positive (to find lumps rather than dips) for sanity, but this might be a workable approach.</p>

<p>Even if the parabolic look is a coincidence, I think this would ba a reasonable approach--a downward pointing parabola is a pretty good description of a general ""lump"" by any definition I can think of.</p>

<p><strong>Edit:  Attempted Implementation Below</strong></p>

<p>I got curious and went ahead and implemented my proposed solution (with slight modifications).  First, here's the code (ugly but functional):</p>

<pre><code>function [x, p] = find_lump(data, width)

  n = size(data, 1);

  f = plot(data(:,1),data(:,2), 'bx-');
  hold on;

  bestX = -inf;
  bestP = [];
  bestMSE = inf;
  bestXdat = [];
  bestYfit = [];

  spanStart = 0;
  spanStop = 1;
  spanWidth = 0;

  while (spanStop &lt; n)
    if (spanStart &gt; 0)
      % Drop first segment from window (since we'll advance x):
      spanWidth = spanWidth - (data(spanStart + 1, 1) - x);
    end

    spanStart = spanStart + 1;
    x = data(spanStart, 1);

    % Advance spanStop index to maintain window width:
    while ((spanStop &lt; n) &amp;&amp; (spanWidth &lt;= width))
      spanStop = spanStop + 1;
      spanWidth = data(spanStop, 1) - x;
    end

    % Correct for overshoot:
    if (spanWidth &gt; width) 
      spanStop = spanStop - 1;
      spanWidth = data(spanStop, 1) - x;
    end

    % Fit parabola to data in the current window:
    xdat = data(spanStart:spanStop, 1);
    ydat = data(spanStart:spanStop, 2);
    p = polyfit(xdat, ydat, 2);

    % Compute fit quality (mean squared error):
    yfit = polyval(p,xdat);
    r = yfit - ydat;
    mse = (r' * r) / size(xdat,1);

    if ((p(1) &lt; -0.002) &amp;&amp; (mse &lt; bestMSE))
      bestMSE = mse;
      bestX = x;
      bestP = p;
      bestXdat = xdat;
      bestYfit = yfit;
    end
  end

  x = bestX;
  p = bestP;

  plot(bestXdat,bestYfit,'r-');
</code></pre>

<p>...and here's a result using the given data (I swapped the columns so column 1 is x values and column 2 is y values) with a window width parameter of 750:</p>

<p><img src=""https://i.stack.imgur.com/J57sR.png"" alt=""Data plot with lump fit drawn in""></p>

<p><strong>Comments:</strong></p>

<p>I opted to use mean squared error between the fit parabola and the original data within each window as the quality metric, rather than correlation coefficient (r^2 value) due to laziness more than anything else.  I don't think the results would be much different the other way.</p>

<p>The output is heavily dependent on the threshold value chosen for the quadratic coefficient (see the bestMSE condition at the end of the loop).  Truth be told, I cheated here by outputing the fit coefficients at each point, then selected the threshold based on the known lump shape.  This is equivalent to using a lump template as suggested by @chaohuang and may not be very robust depending on the expected variance in the data.</p>

<p>Note that some sort of shape control parameter seems to be necessary if this approach is used.  The reason is that any random (smooth) run of data can be fit nicely to some parabola, but not necessarily around the maximum value.  Here's a result where I set the threshold to zero and thus only restricted the fit to parabolas pointing downwards:</p>

<p><img src=""https://i.stack.imgur.com/N4rbz.png"" alt=""Best fit is not a &quot;lump&quot;""> </p>

<p>An improvement would be to add a check that the fit parabola at least has a maximum within the window interval (that is, check that the first derivative goes to zero within the window so we at least find local maxima along the curve).  This alone is not sufficient as you still might have a tiny little lump that fits a parabola better than an ""obvious"" big lump as seen in the given data set.</p>
",23934,7,0,15070721,"Since the approximate dimension of the lump region is known, maybe you can use some 'average' or 'standard' lump to perform the cross-correlation to detect it.",,
35,1321,9321402,Associate file format with my program (Java),|java|file|associations|robotics|,"<p>I am making Scouting Software (in Java) for my <a href=""http://www.usfirst.org/roboticsprograms/frc"" rel=""nofollow"" title=""First Robotics Competition Official Website"">FRC</a> robotics team. Scouting is like collecting data on other teams' robots during competition. It is absolutely critical that my program makes that process as simple and easy as possible. My program can save its data in two ways, one of which is by writing a .scout file to the user's hard drive. All this is working well, but as a finishing touch i would like to implement a way to associate .scout files with my program so that .scout files are opened with my program. It's like .docx for Microsoft Word. It associates .doc/.docx/...etc to itself such that when the user clicks on a file with those extensions, Word opens itself up and then opens the file the user clicked on. I want something like this for my application. Keep in mind, it is written in Java and meant to work on different operating systems (Windows, OSX, Ubuntu Linux, etc). </p>
",2/17/2012 0:46,9322949,1868,1,2,2,,901880,"Bellevue, WA",8/19/2011 6:08,509,9322949,"<p>Does the program have a GUI?  If so, launch it with <a href=""https://stackoverflow.com/tags/java-web-start/info"">Java Web Start</a>.  </p>

<p>JWS can associate a file-type with an application on Windows, OS X &amp; *nix.  Here is a <a href=""http://pscode.org/jws/api.html#fs"" rel=""nofollow noreferrer"">demo. of the JNLP API file service</a> that associates the <code>.zzz</code> file type with the demo. app.</p>
",418556,2,1,11760975,"It is not provided through standard Java library in Java; it is native OS-specific feature. Under Windows, this can be done through Windows registry http://stackoverflow.com/questions/1387769/create-registry-entry-to-associate-file-extension-with-application-in-c. You can use installer builder like NSIS, InnoSetup, etc. to set a registry entry. Java Web Start (JWS) probably has a this feature to support cross-platform.",,
38,1367,10550874,How to calc a cyclic arc through 3 points and parameterize it 0..1 in 3d,|c#|math|robotics|,"<p>How can i calculate an arc through 3 points A, B, C in 3d. from A to C passing B (order is taken care of).</p>

<p>Most robot arms have this kind of move command. I need to simulate it and apply different speed dynamics to it and need therefore a parameter 0..1 which moves a position from A to C.</p>

<p>EDIT:</p>

<p>what i have is radius and center of the arc, but how can i parameterize the circle in 3d if i know the start and end angle?</p>

<p>EDIT2:</p>

<p>getting closer. if i have two unit length perpendicular vectors v1 and v2 on the plane in which the circle lies, i can do a parameterization like: <strong>x</strong>(t) = <strong>c</strong> + r * cos(t) * <strong>v1</strong> + r * sin(t) * <strong>v2</strong></p>

<p>so i take v1 = a-c and i only need to find v2 now. any ideas?</p>
",5/11/2012 11:57,16641390,3612,3,10,5,0,355485,"Berlin, Germany",6/1/2010 14:00,343,10557037,"<p>Martin Doms recently wrote <a href=""http://blog.martindoms.com/2012/04/25/splines-and-curves-part-i-bezier-curves/"" rel=""nofollow"">a blog entry about splines and bezier curves</a> that you might find useful.  </p>

<p>Part of his post describes how to get a 2D curve defined by the three control points P<sub>0</sub>, P<sub>1</sub>, and P<sub>2</sub>.  The curve is parameterized by a value <code>t</code> that ranges from 0 to 1:</p>

<p>F(t) = (1-t)<sup>2</sup> P<sub>0</sub> + 2t (1-t) P<sub>1</sub> + t<sup>2</sup> P<sub>2</sub></p>

<p>It seems likely that you could adapt that to 3D with a little thought.  (Of course, bezier curves don't necessarily go through the control points.  This may not work if that's a deal-breaker for you.)</p>

<p>As an aside, Jason Davies put together <a href=""http://www.jasondavies.com/animated-bezier/"" rel=""nofollow"">a nice little animation of curve interpolation</a>.</p>
",98654,3,3,23933819,"I found a solution after all, check my answer.",,
